;LLL;OLnL;PLnL;LOL;OLnO;PLL;PLnO;LOO;PoOO;PLO;PoOP;PLP;OOO;SLO;POO;POP;SOO;SOP ou POS;PPS ou POA
VB07;0.28;0.45;0.1;3.54;1.97;1.36;0.93;16.36;1.88;8.79;1;01.01;32.99;01.08;20.5;3.58;2.94;0.86;0.38
VB08;0.33;0.43;0.11;4;1.76;1.82;0.94;16.45;1.94;10.48;01.04;1.36;28.78;1.25;21.08;3.92;2.96;0.98;0.37
VB09;0.36;0.47;0.13;4.33;1.78;02.01;0.93;16.62;2.12;11.29;1.21;1.6;26.47;1.28;21.14;4.24;2.68;0.96;0.38
VB10;0.39;0.44;0.13;4.74;1.84;1.79;0.81;17.88;2;9.72;0.98;1.14;30.86;1.2;19.16;3.15;2.57;0.82;0.38
VB11;0.27;0.41;0.11;3.54;1.82;1.58;0.96;15.71;02.07;9.74;1.14;1.24;30.31;1.15;21.6;3.97;03.02;0.97;0.39
VB12;0.31;0.44;0.1;3.7;1.91;1.57;0.98;16.06;02.09;9.68;1.16;1.21;30.23;01.08;21.3;3.97;2.87;0.98;0.36
VB13;0.24;0.4;0.1;3.95;1.86;1.55;0.84;17.13;2.12;9.44;0.99;1.12;31.56;1.23;19.91;3.42;2.89;0.91;0.34
VB14;0.25;0.41;0.1;3.1;1.9;1.14;0.85;15.35;2.12;8.39;1.21;0.98;33.88;0.99;21.56;3.74;2.85;0.8;0.38
VB15;0.24;0.41;0.1;2.8;2;01.09;01.03;15.11;2.17;8.27;1.33;0.87;35.22;0.96;22.39;1.92;3.18;0.49;0.42
VB16;0.3;0.31;0.09;4.12;1.54;1.59;0.73;16.16;1.96;9.29;0.76;01.06;30.85;1.3;21.48;3.78;3.46;0.88;0.34
VB25;0.24;0.32;0.08;3.49;1.66;1.11;0.74;15.79;1.74;7.45;0.76;0.72;36.43;01.05;20.57;3.32;3.41;0.79;0.33
VB27;0.35;0.36;0.08;4.69;1.55;1.95;0.76;18;1.74;10.07;0.57;0.89;30.48;0.94;19.89;3.42;03.09;0.84;0.35
